"",,Arbitragem
Arbitro:,Leandro Bizzio Marinho (AB / SP),
Arbitro Assistente 1:,Danilo Ricardo Simon Manis (FIFA / SP),
Arbitro Assistente 2:,Miguel Cataneo Ribeiro da Costa (AB / SP),
Quarto Arbitro:,Osimar Moreira da Silva Junior (CD / GO),
Delegado Local:,Jose Luiz Pitta Pires (CBF / ),
Analista de Campo:,Antonio Pereira da Silva (CBF / GO),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,16:20Atraso:,,Não Houve Entrada do mandante: 17:32,Atraso:,,Não Houve
Entrada do visitante:,16:20Atraso:,,Não Houve Entrada do visitante: 17:31,Atraso:,,Não Houve
Início 1o Tempo:,16:30 Atraso:,,Não Houve Início do 2o Tempo: 17:34,Atraso:,,Não Houve
Término do 1o Tempo:,17:19 Acréscimo:,,4 min Término do 2o Tempo: 18:24,Acréscimo:,,5 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 2 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Vila Nova / GO,,,Abc / RN,,
No,Apelido,Nome Completo T/R P/A,,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Luis,Luis Carlos Dallastella T(g),P,168281 1 Edson,Edson Pereira Lisboa,T(g) P,160650
2,Magno Jose,Magno Jose da Silva,T P,328949 2 Jonathan,Jonathan Ferreira da...,T P,343392
3,Alemao,Rafael Berger,T P,186128 3 Tonhão,Antonio Josenildo Ro...,T P,434738
4,Wesley,Wesley Ladeira Matos,T P,306551 4 Cleiton,Cleiton Kelly da Silva,T P,291835
5,Geovane,Geovane Batista de Faria,T P,175223 5 Anderson,Anderson Carvalho Tr...,T P,160150
6,Gaston,Gaston Filgueira Mendez,T P,517393 6 Eltinho,Elton Divino Celio,T P,171945
7,Mateus,Mateus Anderson Velo ...,T P,385571 7 Jonatas,Jonatas Goncalves Silva,T P,164866
8,Philippe,Philippe Guimarães,T P,306605 8 Marcio,Marcio Henrique Maia...,T P,165353
