Campeonato:,Campeonato Brasileiro - Série A/2019,Rodada:,8
Jogo:,Ceará / CE X Bahia / BA,,
Data:,08/06/2019 Horário: 19:30 Estádio:,Governador Plácido Aderaldo Castelo / Fortaleza,
"",,Arbitragem
Arbitro:,Thiago Duarte Peixoto (AB / SP),
Arbitro Assistente 1:,Emerson Augusto de Carvalho (FIFA / SP),
Arbitro Assistente 2:,Bruno Salgado Rizo (AB / SP),
Quarto Arbitro:,Leo Simão Holanda (AB / CE),
Delegado Local:,Antonio Alber de Brito Vieira (CBF / ),
Analista de Campo:,Francisco de Assis Almeida Filho (CBF / CE),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,19:20Atraso:,,Não Houve Entrada do mandante: 20:30,,Atraso:,Não Houve
Entrada do visitante:,19:20Atraso:,,Não Houve Entrada do visitante: 20:30,,Atraso:,Não Houve
Início 1o Tempo:,19:30Atraso:,,Não Houve Início do 2o Tempo: 20:32,,Atraso:,Não Houve
Término do 1o Tempo:,20:17Acréscimo:,,2 min Término do 2o Tempo: 21:21,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Ceará / CE,,,Bahia / BA,,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido Nome Completo,,T/R,P/A,CBF
12,Diogo Silva,Diogo Jose Goncalves ... T(g),,P,165094 1 Douglas Douglas Alan Schuck  ...,,T(g),P,182717
3,Valdo,Andrevaldo de Jesus  ... T,,P,326990 2 Nino Paraiba Severino do Ramo Cle ...,,T,P,183977
8,Ricardinho,Ricardo Dias Acosta T,,P,169114 6 Moises Moises Roberto Barbosa,,T,P,318481
11,Fernando,Fernando Pereira do  ... T,,P,399713 7 Elber Jose Elber Pimentel  ...,,T,P,298642
13,Luiz,Luiz Otavio Anacleto ... T,,P,291651 14 Ernando Ernando Rodrigues Lopes,,T,P,178875
19,Fabinho,Fabio Goncalves T,,P,175065 17 Elton Elton Junior Melo Ataide,,T,P,181803
22,Samuel,Samuel Xavier Brito T,,P,292428 18 Douglas Douglas Augusto Soar ...,,T,P,308376
37,Rick,Rick Jhonatan Lima Morais T,,P,538942 20 Fernandao Jose Fernando Viana  ...,,T,P,188453
46,Carleto,Thiago Carletti Alves T,,P,183853 26 Gregore Gregore de Magalhaes ...,,T,P,314357
77,Bergson,Bergson Gustavo Silv ... T,,P,191433 28 Lucas Fonseca Lucas Silva Fonseca,,T,P,309265
89,Thiago,Thiago Galhardo do N ... T,,P,189822 98 Artur Artur Victor Guimaraes,,T,P,419646
83,Fernando,Fernando Henrique do ... R(g),,P,156439 33 Anderson Anderson Pedro da Si ...,,R(g),P,155955
2,Cristovam,Cristovam Roberto Ri ... R,,P,188472 4 Jackson Jackson de Souza,,R,P,299142
4,Brock,Eduardo Schroeder Brock R,,P,291997 5 Flavio Flavio Medeiros da Silva,,R,P,337826
5,Edinho,Edimo Ferreira Campos R,,P,143977 10 Ramires Eric dos Santos Rodrigues,,R,P,521939
10,Felipe,Felipe de Oliveira Silva R,,P,189538 16 Paulinho Paulo Victor da Silva,,R,P,351920
18,Auremir,Auremir Evangelista  ... R,,P,341763 22 Ezequiel Ezequiel Jacinto de Biasi,,R,P,302436
30,Chico,Francisco Hyun Sol Kim R,,P,326622 27 Shaylon Shaylon Kallyson Cardozo,,R,P,421138
36,Tiago,Tiago dos Santos Alves R,,P,167723 30 Marco Antonio Marco Antonio Rosa F ...,,R,P,518590
70,ROMARIO,Romario Marques RodriguesR,,P,299849 44 Xandao Alexandre Rodrigues  ...,,R,P,333824
82,Leandro,Leandro Carvalho da Silva R,,P,417861 72 Everson Everson Bispo Pereira,,R,P,451459
88,Pedro Ken,Pedro Ken Marimoto M ... R,,P,170095 77 Arthur Arthur Caike do Nasc ...,,R,P,292833
94,Mateus Gon ...,Mateus Goncalves Martins R,,P,316729 90 Rogerio Jose Rogerio de Oliv ...,,R,P,291780
"",,Comissão Técnica,
"",Ceará / CE,,Bahia / BA
Técnico:,Enderson Alves Moreira,Técnico:,Roger Machado Marques
Auxiliar Técnico:,Luis Fernando Rosa Flores,Auxiliar Técnico:,Roberto Lampert Ribas
Médico:,Henrique Jose Bastos Pinheiro,Médico:,Luiz Henrique Sapucaia Rehem
Treinador De Goleiros:,Everaldo Goncalves Santana,Treinador De Goleiros:,Rogerio Alves De Lima
Preparador Físico:,Edy Carlos Toporowicz,Preparador Físico:,Paulo Cesar Paixao De Araujo
Fisioterapeuta:,Joao Paulo Cavalcante Frota,Massagista:,Jaime Benito Sanches Neto
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
26:00,1T,Bahia/BA,,77 - Arthur Caike do Nascimento C...,7 - Jose Elber Pimentel da Silva
15:00,2T,Bahia/BA,,10 - Eric dos Santos Rodrigues,17 - Elton Junior Melo Ataide
16:00,2T,Ceará/CE,,82 - Leandro Carvalho da Silva,37 - Rick Jhonatan Lima Morais
20:00,2T,Ceará/CE,,70 - Romario Marques Rodrigues,77 - Bergson Gustavo Silveira da ...
28:00,2T,Bahia/BA,,90 - Jose Rogerio de Oliveira Melo,20 - Jose Fernando Viana de Santana
38:00,2T,Ceará/CE,,88 - Pedro Ken Marimoto Moreira,8 - Ricardo Dias Acosta
