"",Arbitragem
Arbitro:,Marcelo Alves dos Santos (CBF-1 / MT)
Arbitro Assistente 1:,Paulo Cesar Silva Faria (ESP-2 / MT)
Arbitro Assistente 2:,Fabio Rodrigo Rubinho (CBF-1 / MT)
Quarto Arbitro:,Adriano Milczvski (CBF-2 / PR)
Assessor:,Jose Carlos Dias Passos (ASS / PR)
Delegado Local:,Luiz Henrique Ottmann Frecceiro (000 / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:50Atraso:,,Não Houve Entrada do mandante: 22:00,Atraso:,,Não Houve
Entrada do visitante:,20:50Atraso:,,Não Houve Entrada do visitante: 21:59,Atraso:,,Não Houve
Início 1o Tempo:,21:00 Atraso:,,Não Houve Início do 2o Tempo: 22:01,Atraso:,,Não Houve
Término do 1o Tempo:,21:46 Acréscimo:,,1 min Término do 2o Tempo: 22:50,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 3 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Paraná / PR,,,Macaé / RJ,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Marcao,Sebastiao Marcos Bar ...,T P,126468 1 Rafael,Alberto Rafael da Silva,T P,170739
2,Uchoa,Anderson Uchoa dos S ...,T P,183385 2 Igor,Igor de Carvalho Juliao,T P,307616
3,Luiz,Luiz Felipe do Nasci ...,T P,354299 3 Ramon,Ramon Villela Goncalves,T P,155674
4,Luciano Ca ...,Luciano Castan da Silva,T P,292282 4 Rodrigo,Rodrigo Frauches de ...,T P,306202
5,Fernandes,Micerlanio Fernandes ...,T P,161974 5 Gedeil,Gedeil da Silva Daudt,T P,155127
6,Rafael,Rafael Bruno Cajueir ...,T P,321847 6 Diego,Diego Pereira Correa,T P,161603
7,Eder,Edson Correia de Araujo,T P,176092 7 Wesley,Wesley Henrique Lima...,T P,170477
8,Rosinei,Rosinei Adolfo,T P,147062 8 Junior,Paulo Roberto Valour...,T P,179395
9,Carlos Hen ...,Carlos Henrique de M ...,T P,298550 9 Anselmo,Anselmo Tadeu Silva ...,T P,143708
10,Rafinha,Rafael Eduardo Costa,T P,291468 10 Fernando,Fernando Jose da Cun...,T P,321820
11,Henrique,Henrique Roberto Rafael,T P,331360 11 Wagner,Wagner Correa Machado,T P,175258
12,Felipe,Felipe Alves Raymundo,R P,177931 12 Marcos,Marcos Felipe de Fre...,R P,318563
13,Crystian,Crystian Souza Carvalho,R P,322338 13 dos Santos,Leonardo Santos do Vale,R P,189941
14,Ze Roberto,Jose Roberto Lucini,R P,136391 14 Douglas,Douglas Assis de Oli...,R P,174616
15,Jean,Jean Carlos de Souza ...,R P,378268 15 Renato San ...,Renato dos Santos,R P,164070
16,Helder,Helder de Paula Santos,R P,162897 16 Alisson,Alisson Guirra Reis ...,R P,172132
17,Leandro,Leandro Vilela Sales ...,R P,315023 17 Aloisio,Aloisio Pereira Magnago,R P,169861
18,Paulo Henr ...,Paulo Henrique Ribei ...,R P,331859 18 Marquinhos,Marcos Moreira de Souza,R P,299111
19,Thiago Hen ...,Thiago Henrique Silv ...,R P,165657 19 Anderson,Anderson dos Santos ...,R P,189424
20,Lucas Moura,Lucas Silva Moura,R P,396613,,,
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
14:00,2T,20,NR,Lucas Silva Moura,,Paraná/PR
39:00,2T,10,NR,Rafael Eduardo Costa,,Paraná/PR
+2,2T,5,NR,Micerlanio Fernandes da Silva,,Paraná/PR
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
+1:00,2T,Paraná/PR,,15 - Jean Carlos de Souza Irme ...,9 - Carlos Henrique de Moura  ...
12:00,2T,Paraná/PR,,20 - Lucas Silva Moura,2 - Anderson Uchoa dos Santos ...
17:00,2T,Macaé/RJ,,19 - Anderson dos Santos Silva ...,11 - Wagner Correa Machado
25:00,2T,Macaé/RJ,,17 - Aloisio Pereira Magnago,9 - Anselmo Tadeu Silva do Na ...
27:00,2T,Macaé/RJ,,18 - Marcos Moreira de Souza,6 - Diego Pereira Correa
