"",Arbitragem
Arbitro:,Marcelo de Lima Henrique (ESP-1 / PE)
Arbitro Assistente 1:,Clovis Amaral da Silva (ASP-FIFA / PE)
Arbitro Assistente 2:,Bruno Cesar Chaves Vieira (CBF-2 / PE)
Quarto Arbitro:,Edivaldo Elias da Silva (CBF-1 / PR)
Delegado  Especial:,Roberto Perassi (ASS / SP)
Quinto Arbitro:,Alex dos Santos (CBF-2 / SC)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:10Atraso:,,Não Houve Entrada do mandante: 21:18,Atraso:,,Não Houve
Entrada do visitante:,20:10Atraso:,,Não Houve Entrada do visitante: 21:19,Atraso:,,Não Houve
Início 1o Tempo:,20:20 Atraso:,,50 min Início do 2o Tempo: 21:20,Atraso:,,Não Houve
Término do 1o Tempo:,21:05 Acréscimo:,,Não Houve Término do 2o Tempo: 22:09,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 1 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Chapecoense / SC,,,Internacional / RS,,
No,Apelido,Nome Completo T/R P/A,,CBF No Apelido,Nome Completo,T/R P/A,CBF
36,Nivaldo,Jose Nivaldo Martins ... T,P,122714 22 Alisson,Alisson Ramses Becker,T P,293033
2,Apodi,Luiz Diallison de So ... T,P,172576 4 Juan,Juan Silveira dos Santos,T P,123816
6,Dener,Dener Assuncao Braz T,P,305876 5 Nicolas,Andres Nicolas Freit...,T P,522406
10,Fernando,Fernando Camilo Farias T,P,161437 6 William,William de Asevedo F...,T P,309438
11,Ananias,Ananias Eloi Castro  ... T,P,183189 8 Anderson,Anderson Luis de Abr...,T P,168441
27,William,William Thiego de Jesus T,P,169902 10 Dalessandro,Andres Nicolas Dales...,T P,299481
31,Bruno,Bruno Cesar Pereira  ... T,P,169938 13 Rodrigo,Rodrigo Dourado Cunha,T P,296330
34,Vilson,Vilson Xavier de Men ... T,P,179465 14 Ernando,Ernando Rodrigues Lopes,T P,178875
40,Nilson,Francinilson Santos  ... T,P,303766 17 Lisandro L ...,Lisandro Lopez,T P,522632
88,Cleber San ...,Cleber Santana Loureiro T,P,140653 21 Vitinho,Victor Vinicius Coel...,T P,307245
99,Tulio,Tulio Vinicius Froes ... T,P,163514 25 Paulo Marcos,Paulo Marcos de Jesu...,T P,293393
3,Rafael,Rafael Ramos de Lima R,P,160686 1 Dida,Nelson de Jesus Silva,R P,117336
5,Wanderson,Wanderson Pereira Ro ... R,P,145244 26 Alan,Alan Henrique Costa,R P,188990
7,Wiliam,Wiliam Silva Gomes B ... R,P,307680 27 Alisson,Alisson Alves Farias,R P,345876
17,Elicarlos,Elicarlos Souza Santos R,P,169835 30 Muriel,Muriel Gustavo Becker,R P,165925
21,Hyoran,Hyoran Kaue Dalmoro R,P,304434 32 Matheus,Matheus Hanauer Bertotto,R P,346588
32,Mateus,Mateus Lucena dos Santos R,P,351540 33 Artur,Artur Sergio Batista...,R P,377697
33,Odair,Odair Souza R,P,146284 34 Bruno,Bruno Henrique Baio ...,R P,324464
39,João,Joao Paulo Azevedo B ... R,P,142940 36 Adniellyson,Adniellyson da Silva...,R P,340240
45,Costa,Tiago da Costa Silva R,P,188960 39 Jair,Jair Rodrigues Junior,R P,347809
47,Wagner,Wagner Ricardo Silva ... R,P,344955 43 Ze Mario,Jose Mario de Bona,R P,178402
89,Tiago Luis,Tiago Luis Martins R,P,175323 44 Andrigo,Andrigo Oliveira de ...,R P,298793
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
19:00,2T,11,NR,Ananias Eloi Castro Monteiro,,Chapecoense/SC
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
+1:00,2T,Chapecoense/SC,89 - Tiago Luis Martins,99 - Tulio Vinicius Froes de M ...
18:00,2T,Internacional/RS,26 - Alan Henrique Costa,17 - LISANDRO LOPEZ
27:00,2T,Internacional/RS,33 - Artur Sergio Batista de S ...,14 - Ernando Rodrigues Lopes
31:00,2T,Chapecoense/SC,33 - Odair Souza,11 - Ananias Eloi Castro Monte ...
34:00,2T,Internacional/RS,27 - Alisson Alves Farias,13 - Rodrigo Dourado Cunha
35:00,2T,Chapecoense/SC,7 - Wiliam Silva Gomes Barbio ...,10 - Fernando Camilo Farias
