Campeonato:,Campeonato Brasileiro - Série D/2019,,Rodada:,Volta
Jogo:,Rio Branco / AC X Fast Clube / AM,,,
Data:,12/05/2019 Horário: 19:00 Estádio:,Arena da Floresta / Rio Branco,,
"",,Arbitragem
Arbitro:,Daniel de Sousa Macedo (CD / RJ),
Arbitro Assistente 1:,Lilian da Silva Fernandes Bruno (MTR / RJ),
Arbitro Assistente 2:,Carlos Henrique Cardoso de Souza (AB / RJ),
Quarto Arbitro:,Julian Negreiros de Castro (INT / AC),
Delegado Local:,Leandro Santos Rodrigues (CBF / ),
Analista de Campo:,Gilsomar Lopes da Silva (CBF / AC),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:50Atraso:,,Não Houve Entrada do mandante: 19:58,,Atraso:,Não Houve
Entrada do visitante:,18:50Atraso:,,Não Houve Entrada do visitante: 19:58,,Atraso:,Não Houve
Início 1o Tempo:,19:00Atraso:,,Não Houve Início do 2o Tempo: 20:01,,Atraso:,Não Houve
Término do 1o Tempo:,19:46Acréscimo:,,1 min Término do 2o Tempo: 20:49,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Rio Branco / AC,,,,Fast Clube / AM,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo,T/R,P/A,CBF
1,Edivandro,Edivandro Lima dos SantosT(g),,P,308829 1 Andre,Andre Regly E Silva  ...,T(g),P,319826
2,Adriano,Adriano da Silva de  ... T,,P,346928 2 Paulo,Paulo Rossinio Alfon ...,T,P,428639
3,Sandroi,Sandro Luiz Alves Junior T,,P,340975 3 Kennedy,Kennedy Martins Ribe ...,T,P,431905
4,Rafael,Rafael Santos Henriq ... T,,P,341231 4 Carlinhos,Carlos Augusto Almei ...,T,P,175531
5,Kinho,Melquisedeque Rezend ... T,,P,169056 5 Felipe,Felipe Eduardo Caste ...,T,P,526599
6,Wesley,Wesley Brito da Silva T,,P,533774 6 Bernardo,Bernardo de Paulo Silva,T,P,414520
7,Wesley,Wesley Castro dos Santos T,,P,402076 7 Ramon,Ramon Rogerio da Cos ...,T,P,314855
8,Henry,Henry Matheus Damski T,,P,586184 8 Romario,Romario Fontes Borges,T,P,567882
9,Edinaldo,Ednaldo Fernando de Lima T,,P,370496 9 Ray,Jose Raimundo Souza  ...,T,P,155199
10,Helson Luiz,Helson Luiz da Conce ... T,,P,342842 10 Willian,Willian Saroa de Souza,T,P,185702
11,Carlos Alb ...,Carlos Alberto de Pa ... T,,P,332093 11 Ronan,Ronan Nunes Freitas  ...,T,P,459875
12,RAMON,Ramon Araujo Gomes R(g),,P,608688 12 Oliveira,Valdeci Inacio de Ol ...,R(g),P,338251
13,ALISSON,Alisson de Oliveira  ... R,,P,620220 13 Thiago,Thiago Brandao Barra,R,P,177717
14,Guatavo,Gustavo de Sousa SarmentoR,,P,588228 14 Rondinelli,Rondinelli Valente d ...,R,P,166713
15,Paulo,Paulo Henrique Holan ... R,,P,551406 15 Thiago,Thiago Souza do Nasc ...,R,P,393390
16,Casio,Cásio Augusto Moraes ... R,,P,531760 16 Branco,Josinaldo Lima dos Santos,R,P,163722
17,Adriano,Adriano Vieira Louzada R,,P,133145 17 Antony,Antony Silva de Aguiar,R,P,565402
21,VINICIUS,Marcus Vinicius Lima ... R,,P,616612 18 Cassiano,Cassiano Elias dos Santos,R,P,308268
22,ANDRÉ LIMA,André da Silva Lima R,,P,646544,,,,
25,Neto,José Modesto do Nasc ... R,,P,415701,,,,
"",,Comissão Técnica,
"",Rio Branco / AC,,Fast Clube / AM
Técnico:,Rodrigo Aragao Cavalcante,Técnico:,Paulo Jorge Diogo Morgado
Auxiliar Técnico:,Jader De Andrade Bezerra,Auxiliar Técnico:,Aderbal Domingos Lana
Médico:,Thiago Gomes Goncalves,Médico:,SAULO RAMIRES NOGUEIRA
Treinador De Goleiros:,Erismeu Silva Do Nascimento,Treinador De Goleiros:,Jhoandri Ranniel Zacarias Lara
Preparador Físico:,EDSON MARIA DA SILVA ALMEIDA,Massagista:,Camacaro Hidalgo
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Fast Clube/AM,16 - Josinaldo Lima dos Santos,9 - Jose Raimundo Souza de Macedo
45:00,INT,Rio Branco/AC,21 - Marcus Vinicius Lima Saraiva,8 - Henry Matheus Damski
15:00,2T,Fast Clube/AM,15 - Thiago Souza do Nascimento,7 - Ramon Rogerio da Costa Vilhena
25:00,2T,Rio Branco/AC,22 - André da Silva Lima,10 - Helson Luiz da Conceiçao Si...
25:00,2T,Fast Clube/AM,18 - Cassiano Elias dos Santos,11 - Ronan Nunes Freitas da Cruz
35:00,2T,Rio Branco/AC,13 - Alisson de Oliveira Moreira,4 - Rafael Santos Henriques Caet...
