Campeonato:,Copa do Brasil - Profissional/2021,,,Rodada:,Volta
Jogo:,Paysandu / PA X Crb / AL,,,,
Data:,13/04/2021 Horário: 16:45,Estádio:,Leônidas Sobré de Castro / Belem,,
"",,Arbitragem
Arbitro:,Savio Pereira Sampaio (AB / DF),
Arbitro Assistente 1:,Daniel Henrique da Silva Andrade (AB / DF),
Arbitro Assistente 2:,Jose Reinaldo Nascimento Junior (AB / DF),
Quarto Arbitro:,Gustavo Ramos Melo (CD / PA),
Analista de Campo:,Lucio Ipojucan Ribeiro da Silva de Mattos (CBF / PA),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,16:35Atraso:,,Não Houve Entrada do mandante: 17:45,,Atraso:,Não Houve
Entrada do visitante:,16:35Atraso:,,Não Houve Entrada do visitante: 17:45,,Atraso:,Não Houve
Início 1o Tempo:,16:45Atraso:,,Não Houve Início do 2o Tempo: 17:47,,Atraso:,Não Houve
Término do 1o Tempo:,17:32Acréscimo:,,02 min Término do 2o Tempo: 18:36,Acréscimo:,,04 min
Resultado do 1o Tempo: 1 X 1,,,Resultado Final: 1 X 2,,,
"",,,,,Relação de Jogadores,,,,
"",,Paysandu / PA,,,,Crb / AL,,,
No,Apelido,Nome Completo,T/R,P/A,CBF No Apelido,Nome Completo T/R,,P/A,CBF
1,Victor Souza,Victor Bernardes And ... T(g),,P,299833 12 Diogo Silva,Diogo Jose Goncalves ... T(g),,P,165094
5,Bruno Coll ...,Bruno Bairros Collaço,T,P,177998 2 Reginaldo,Reginaldo Lopes de Jesus T,,P,353336
6,Paulinho,Paulo Sergio de Oliveira,T,P,178891 3 Gum,Welington Pereira Ro ... T,,P,167958
11,Nicolas,Nicolas Godinho Johann,T,P,179934 4 Diego Ivo,Diego Ivo Pires T,,P,295845
18,Ratinho,Jurani Francisco Ferreira,T,P,434440 5 Claudinei,Claudinei Junio de Souza T,,P,306822
19,Igor Goularte,Igor Leandro Goulart ...,T,P,411295 6 Guilherme,Guilherme Kennedy Romao T,,P,419442
26,Perema,Auricélio Vinhote So ...,T,P,389790 7 Calyson,Calyson Rubens Santi ... T,,P,314842
34,Yan,Yan Rodrigo Alves Ma ...,T,P,371695 8 Carlos Jat ...,Carlos Eduardo Bacil ... T,,P,300738
89,Ruy,Ruy Franco de Almeid ...,T,P,178472 9 Lucão do  ...,Lucas Vinicius Gonca ... T,,P,304035
93,Israel,Israel Neves de Souza,T,P,453326 10 Diego Torres,Diego Fabian Torres T,,P,633725
97,Ari Moura,Ari Moura Vieira Filho,T,P,394823 11 Hyuri,Hyuri Henrique de Ol ... T,,P,307018
23,Paulo Ricardo,Paulo Ricardo Ferrei ... R(g),,P,453522 1 Edson,Edson Mardden Alves  ... R(g),,P,296573
3,Alisson,Alisson Pereira Santana,R,P,314533 13 Ewerton,Ewerton Ribeiro Pascoa R,,P,182550
8,Elyeser,Elyeser Maciel da Silva,R,P,333676 14 Jorge Joa,Jorge Andres Roa Jimenez R,,P,622068
9,Gabriel Ba ...,Gabriel Barbosa Avelino,R,P,441254 15 Hugo,Hugo Ferreira de Farias R,,P,403342
10,Marlon,Marlon Douglas de Sa ...,R,P,411070 16 Luidy,Luidy Viegas R,,P,409509
21,Jhonnatan,Jhonnatan Guimaraes  ...,R,P,295956 17 Regis,Regis Tosatti Giacomin R,,P,365346
28,João Paulo,Joao Paulo de Assis Penha,R,P,363827 18 Ewandro,Ewandro Felipe de Li ... R,,P,344841
36,Diego Matos,Diego Daniel Rodrigu ...,R,P,536065 19 Stockl,Matheus Bungenstab Stockl R,,P,457167
37,Flavio,Flavio da Silva Cabral,R,P,616936,,,,
42,Denilson,Denilson dos Santos  ...,R,P,344194,,,,
53,Adriel,Adriel Tadeu Ferreir ...,R,P,354925,,,,
98,Robinho,Robson Jose Brilhant ...,R,P,456114,,,,
"",,Comissão Técnica,
"",Paysandu / PA,,Crb / AL
Técnico:,Itamar Schulle,Técnico:,Jose Roberto Fernandes Barros
Auxiliar Técnico:,Lucas Adami Isotton,Auxiliar Técnico:,Antonio Fernando Alves Filho
Médico:,Marcelo Nascimento De Barros,Médico:,WILLIAM RODRIGUES COSTA
Treinador De Goleiros:,Jonas Sampaio De Almeida Filho,Treinador De Goleiros:,Luciano Dias Fragoso
Preparador Físico:,Edson Procopio Belo,Preparador Físico:,Rogerio Juidecce De Souza
Massagista:,Alan Francisco Figueiredo Souza,Massagista:,Francisco De Assis Rodrigues Miranda
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
43:00,1T,93,NR,Israel Neves de Souza,,Paysandu/PA
45:00,1T,10,NR,Diego Fabian Torres,,Crb/AL
02:00,2T,11,NR,Hyuri Henrique de Oliveira Costa,,Crb/AL
"Ocorrências / ObservaçõesInformo que foi respeitado 01' (um minuto) de silêncio antes do inicio da partida, em homenagem as vitimas da pandemia de covid19.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido a substituições, atendimento médico aos atletas supostamente lesionados, reposição de bola.Observações EventuaisNada houve de anormal.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu22:002TPaysandu/PA28 - Joao Paulo de Assis Penha6 - Paulo Sergio de Oliveira22:002TPaysandu/PA98 - Robson Jose Brilhante Martins97 - Ari Moura Vieira Filho27:002TCrb/AL16 - Luidy Viegas7 - Calyson Rubens Santiago Rosa33:002TPaysandu/PA21 - Jhonnatan Guimaraes Saraiva ...89 - Ruy Franco de Almeida Junior33:002TPaysandu/PA9 - Gabriel Barbosa Avelino18 - Jurani Francisco Ferreira33:002TCrb/AL18 - Ewandro Felipe de Lima Costa10 - Diego Fabian Torres41:002TPaysandu/PA37 - Flavio da Silva Cabral19 - Igor Leandro Goularte do Nas...41:002TCrb/AL15 - Hugo Ferreira de Farias6 - Guilherme Kennedy Romao41:002TCrb/AL14 - Jorge Andres Roa Jimenez11 - Hyuri Henrique de Oliveira C..."
Ocorrências / Observações
"Informo que foi respeitado 01' (um minuto) de silêncio antes do inicio da partida, em homenagem as vitimas da pandemia de covid19."
"Ocorrências / ObservaçõesInformo que foi respeitado 01' (um minuto) de silêncio antes do inicio da partida, em homenagem as vitimas da pandemia de covid19.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido a substituições, atendimento médico aos atletas supostamente lesionados, reposição de bola.Observações EventuaisNada houve de anormal.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu22:002TPaysandu/PA28 - Joao Paulo de Assis Penha6 - Paulo Sergio de Oliveira22:002TPaysandu/PA98 - Robson Jose Brilhante Martins97 - Ari Moura Vieira Filho27:002TCrb/AL16 - Luidy Viegas7 - Calyson Rubens Santiago Rosa33:002TPaysandu/PA21 - Jhonnatan Guimaraes Saraiva ...89 - Ruy Franco de Almeida Junior33:002TPaysandu/PA9 - Gabriel Barbosa Avelino18 - Jurani Francisco Ferreira33:002TCrb/AL18 - Ewandro Felipe de Lima Costa10 - Diego Fabian Torres41:002TPaysandu/PA37 - Flavio da Silva Cabral19 - Igor Leandro Goularte do Nas...41:002TCrb/AL15 - Hugo Ferreira de Farias6 - Guilherme Kennedy Romao41:002TCrb/AL14 - Jorge Andres Roa Jimenez11 - Hyuri Henrique de Oliveira C..."
Observações Eventuais
Nada houve de anormal.
"Ocorrências / ObservaçõesInformo que foi respeitado 01' (um minuto) de silêncio antes do inicio da partida, em homenagem as vitimas da pandemia de covid19.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido a substituições, atendimento médico aos atletas supostamente lesionados, reposição de bola.Observações EventuaisNada houve de anormal.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu22:002TPaysandu/PA28 - Joao Paulo de Assis Penha6 - Paulo Sergio de Oliveira22:002TPaysandu/PA98 - Robson Jose Brilhante Martins97 - Ari Moura Vieira Filho27:002TCrb/AL16 - Luidy Viegas7 - Calyson Rubens Santiago Rosa33:002TPaysandu/PA21 - Jhonnatan Guimaraes Saraiva ...89 - Ruy Franco de Almeida Junior33:002TPaysandu/PA9 - Gabriel Barbosa Avelino18 - Jurani Francisco Ferreira33:002TCrb/AL18 - Ewandro Felipe de Lima Costa10 - Diego Fabian Torres41:002TPaysandu/PA37 - Flavio da Silva Cabral19 - Igor Leandro Goularte do Nas...41:002TCrb/AL15 - Hugo Ferreira de Farias6 - Guilherme Kennedy Romao41:002TCrb/AL14 - Jorge Andres Roa Jimenez11 - Hyuri Henrique de Oliveira C...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
22:00,2T,Paysandu/PA,28 - Joao Paulo de Assis Penha,6 - Paulo Sergio de Oliveira
22:00,2T,Paysandu/PA,98 - Robson Jose Brilhante Martins,97 - Ari Moura Vieira Filho
27:00,2T,Crb/AL,16 - Luidy Viegas,7 - Calyson Rubens Santiago Rosa
33:00,2T,Paysandu/PA,21 - Jhonnatan Guimaraes Saraiva ...,89 - Ruy Franco de Almeida Junior
33:00,2T,Paysandu/PA,9 - Gabriel Barbosa Avelino,18 - Jurani Francisco Ferreira
33:00,2T,Crb/AL,18 - Ewandro Felipe de Lima Costa,10 - Diego Fabian Torres
41:00,2T,Paysandu/PA,37 - Flavio da Silva Cabral,19 - Igor Leandro Goularte do Nas...
41:00,2T,Crb/AL,15 - Hugo Ferreira de Farias,6 - Guilherme Kennedy Romao
41:00,2T,Crb/AL,14 - Jorge Andres Roa Jimenez,11 - Hyuri Henrique de Oliveira C...
"Ocorrências / ObservaçõesInformo que foi respeitado 01' (um minuto) de silêncio antes do inicio da partida, em homenagem as vitimas da pandemia de covid19.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido a substituições, atendimento médico aos atletas supostamente lesionados, reposição de bola.Observações EventuaisNada houve de anormal.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu22:002TPaysandu/PA28 - Joao Paulo de Assis Penha6 - Paulo Sergio de Oliveira22:002TPaysandu/PA98 - Robson Jose Brilhante Martins97 - Ari Moura Vieira Filho27:002TCrb/AL16 - Luidy Viegas7 - Calyson Rubens Santiago Rosa33:002TPaysandu/PA21 - Jhonnatan Guimaraes Saraiva ...89 - Ruy Franco de Almeida Junior33:002TPaysandu/PA9 - Gabriel Barbosa Avelino18 - Jurani Francisco Ferreira33:002TCrb/AL18 - Ewandro Felipe de Lima Costa10 - Diego Fabian Torres41:002TPaysandu/PA37 - Flavio da Silva Cabral19 - Igor Leandro Goularte do Nas...41:002TCrb/AL15 - Hugo Ferreira de Farias6 - Guilherme Kennedy Romao41:002TCrb/AL14 - Jorge Andres Roa Jimenez11 - Hyuri Henrique de Oliveira C...",,,,
Ocorrências / Observações,,,,
"Informo que foi respeitado 01' (um minuto) de silêncio antes do inicio da partida, em homenagem as vitimas da pandemia de covid19.",,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido a substituições, atendimento médico aos atletas supostamente lesionados, reposição de bola.",,,,
Observações Eventuais,,,,
Nada houve de anormal.,,,,
Relatório do Assistente,,,,
Nada a relatar.,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
22:00,2T,Paysandu/PA,28 - Joao Paulo de Assis Penha,6 - Paulo Sergio de Oliveira
22:00,2T,Paysandu/PA,98 - Robson Jose Brilhante Martins,97 - Ari Moura Vieira Filho
27:00,2T,Crb/AL,16 - Luidy Viegas,7 - Calyson Rubens Santiago Rosa
33:00,2T,Paysandu/PA,21 - Jhonnatan Guimaraes Saraiva ...,89 - Ruy Franco de Almeida Junior
33:00,2T,Paysandu/PA,9 - Gabriel Barbosa Avelino,18 - Jurani Francisco Ferreira
33:00,2T,Crb/AL,18 - Ewandro Felipe de Lima Costa,10 - Diego Fabian Torres
41:00,2T,Paysandu/PA,37 - Flavio da Silva Cabral,19 - Igor Leandro Goularte do Nas...
