Campeonato:,Campeonato Brasileiro - Série A/2018,,Rodada:,24
Jogo:,Sport / PE X Cruzeiro / MG,,,
Data:,08/09/2018 Horário: 16:00 Estádio:,Adelmar da Costa Carvalho / Recife,,
"",Arbitragem
Arbitro:,Vinicius Gonçalves Dias Araujo (AB / SP)
Arbitro Assistente 1:,Alex Ang Ribeiro (AB / SP)
Arbitro Assistente 2:,Rogerio Pablos Zanardo (AB / SP)
Quarto Arbitro:,Ricardo Bezerra Chianca (CD / PE)
Arbitro Assist Adic 1:,Nielson Nogueira Dias (AB / PE)
Arbitro Assist Adic 2:,Pablo Ramon Goncalves Pinheiro (AB / RN)
Delegado Local:,Jorge Buregio de Lima Junior (CBF / )
Analista de Campo:,Emerson Luiz Sobral ( / PE)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:50Atraso:,,Não Houve Entrada do mandante: 17:00,,Atraso:,Não Houve
Entrada do visitante:,15:50Atraso:,,Não Houve Entrada do visitante: 17:00,,Atraso:,Não Houve
Início 1o Tempo:,16:00Atraso:,,Não Houve Início do 2o Tempo: 17:02,,Atraso:,Não Houve
Término do 1o Tempo:,16:47Acréscimo:,,2 min Término do 2o Tempo: 17:51,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Sport / PE,,,,Cruzeiro / MG,,,
No,Apelido,Nome Completo,T/R,P/A,CBF No Apelido,Nome Completo T/R,P/A,,CBF
1,Magrão,Alessandro Beti Rosa T(g),,P,130014 1 Fabio,Fabio Deivson Lopes ... T(g),P,,129292
3,Ronaldo,Ronaldo Luiz Alves,T,P,174941 2 Ezequiel,Ezequiel Jacinto de Biasi T,P,,302436
4,Durval,Severino dos Ramos D ...,T,P,141516 3 Leo,Leonardo Renan Simoe... T,P,,174360
7,Andrigo,Andrigo Oliveira de  ...,T,P,298793 6 Egidio,Egidio de Araujo Per... T,P,,157280
9,Hernane,Hernane Vidal de Souza,T,P,186467 16 Lucas Silva,Lucas Silva Borges T,P,,320111
10,Marlone,Johnath Marlone Azev ...,T,P,307366 18 RAFAEL,RAFAEL DA SILVA FRANCISTCOP,,,151708
14,Ernando,Ernando Rodrigues Lopes,T,P,178875 19 Robinho,Robson Michael Signorini T,P,,172189
25,Neto,Antonio Francisco Mo ...,T,P,383527 20 Bruno,Bruno Cesar Pereira Silva T,P,,169938
56,Sander,Sander Henrique Bort ...,T,P,346046 21 Mancuello,Federico Andres Mancuello T,P,,541197
77,Marcos,Marcos Antonio Almei ...,T,P,345210 27 Manoel,Manoel Messias Silva... T,P,,182423
90,Rogerio,Jose Rogerio de Oliv ...,T,P,291780 28 Barcos,Hernan Barcos T,P,,402375
32,Mailson,Mailson Tenorio dos  ... R(g),,P,460562 12 Rafael,Rafael Pires Monteiro R(g),P,,180213
13,Matheus,Matheus Ferreira de Sousa,R,P,352216 4 Murilo,Murilo Cerqueira Paim R,P,,392224
15,Rafael Mar ...,Rafael Marques Mariano,R,P,158615 5 Ariel Cabral,Alejandro Ariel Cabral R,P,,535421
17,Max,Maximiliano Lelis Ro ...,R,P,168336 7 Rafael Sobis,Rafael Augusto Sobis R,P,,150549
22,Mateus,Mateus Goncalves Martins,R,P,316729 11 David,David Correia da Fonseca R,P,,430588
23,Raul,Raul Prata,R,P,181172 15 Patrick,Patrick de Carvalho Brey R,P,,395968
29,Nonoca,Lucas de Souza Ventura,R,P,459474 17 Raniel San ...,Raniel Santana de Va... R,P,,447783
33,Ortiz,Leonardo Rech Ortiz,R,P,422469 25 M. Hermes,Marcelo Hermes R,P,,363926
49,Morato,Andrew Erik Feitosa,R,P,311507 39 Vitor Eudes,Vitor Eudes de Souza... R,P,,444850
55,Deivid,Deivid Willian da Silva,R,P,182609 40 Ederson Silva,Ederson Jose dos San... R,P,,441979
70,Matheus Pe ...,Matheus Vieira Campo ...,R,P,381689,,,,
88,Jair,Jair Rodrigues Junior,R,P,347809,,,,
"",,Comissão Técnica,
"",Sport / PE,,Cruzeiro / MG
Técnico:,EDUARDO ALEXANDRE BAPTISTA,Técnico:,LUIZ ANTONIO VENKER MENEZES
Auxiliar Técnico:,GUSTAVO SALES BUENO,Auxiliar Técnico:,SIDNEI DE ESPIRITO
Médico:,LEONARDO FREIRE MONTEIRO,Médico:,FREDERICO ZATTI LIMA DE SOUZA
Treinador De Goleiros:,GILBERTO FELIX DE MELO,Treinador De Goleiros:,ROBERTO BARBOSA DOS SANTOS
Preparador Físico:,LUIS FERNANDO GOULART,Preparador Físico:,EDUARDO LUIS DA SILVA
Massagista:,EDSON BATISTA FERREIRA,Fisioterapeuta:,EDUESTER LOPES RODRIGUES
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,Sport/PE,,23 - Raul Prata,14 - Ernando Rodrigues Lopes
45:00,INT,Sport/PE,,88 - Jair Rodrigues Junior,25 - Antonio Francisco Moura Neto
16:00,2T,Cruzeiro/MG,,17 - Raniel Santana de Vasconcelos,19 - Robson Michael Signorini
23:00,2T,Cruzeiro/MG,,11 - David Correia da Fonseca,28 - Hernan Barcos
28:00,2T,Sport/PE,,22 - Mateus Goncalves Martins,7 - Andrigo Oliveira de Araujo
33:00,2T,Cruzeiro/MG,,40 - Ederson Jose dos Santos Lour...,18 - RAFAEL DA SILVA FRANCISCO
