Campeonato:,Campeonato Brasileiro - Série A/2018,,Rodada:,3
Jogo:,Internacional / RS X Cruzeiro / MG,,,
Data:,29/04/2018 Horário: 19:00 Estádio:,José Pinheiro Borda / Porto Alegre,,
"",Arbitragem
Arbitro:,Wagner do Nascimento Magalhaes (FIFA / RJ)
Arbitro Assistente 1:,Rodrigo Figueiredo Henrique Correa (FIFA / RJ)
Arbitro Assistente 2:,Thiago Henrique Neto Correa Farinha (AB / RJ)
Quarto Arbitro:,Carlos Henrique Alves de Lima Filho (AB / RJ)
Arbitro Assist Adic 1:,Rodrigo Nunes de Sa (CD / RJ)
Arbitro Assist Adic 2:,Alexandre Vargas Tavares de Jesus (AB / RJ)
Inspetor:,Sergio Cristiano Nascimento (CBF / BRA)
Delegado Local:,Marcos Roberto Caduri de Almeida (CBF / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:50Atraso:,,Não Houve Entrada do mandante: 19:59,,Atraso:,Não Houve
Entrada do visitante:,18:50Atraso:,,Não Houve Entrada do visitante: 19:59,,Atraso:,Não Houve
Início 1o Tempo:,19:00Atraso:,,Não Houve Início do 2o Tempo: 20:02,,Atraso:,Não Houve
Término do 1o Tempo:,19:47Acréscimo:,,2 min Término do 2o Tempo: 20:52,Acréscimo:,,5 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Internacional / RS,,,,Cruzeiro / MG,,,
No,Apelido,Nome Completo,T/R,P/A,CBF No Apelido,Nome Completo T/R,P/A,,CBF
1,Danilo Fer ...,Danilo Fernandes Batista,T(g),P,165830 12 Rafael,Rafael Pires Monteiro T(g),P,,180213
4,Moledo,Rodrigo Modesto da S ...,T,P,173551 2 Ezequiel,Ezequiel Jacinto de Biasi T,P,,302436
8,Edenilson,Edenilson Andrade do ...,T,P,306270 4 Murilo,Murilo Cerqueira Paim T,P,,392224
9,Leandro Da ...,Leandro Damiao da Si ...,T,P,291866 7 Rafael Sobis,Rafael Augusto Sobis T,P,,150549
10,Dalessandro,Andres Nicolas Dales ...,T,P,299481 11 David,David Correia da Fonseca T,P,,430588
13,Rodrigo Do ...,Rodrigo Dourado Cunha,T,P,296330 19 Robinho,Robson Michael Signorini T,P,,172189
15,Victor Cuesta,Victor Leandro Cuesta,T,P,567555 20 Bruno,Bruno Cesar Pereira Silva T,P,,169938
18,Fabiano,Fabiano Leismann,T,P,352647 21 Mancuello,Federico Andres Mancuello T,P,,541197
28,Iago,Iago Amaral Borduchi,T,P,356389 25 M. Hermes,Marcelo Hermes T,P,,363926
88,Patrick,Patrick Bezerra do N ...,T,P,315585 27 Manoel,Manoel Messias Silva... T,P,,182423
99,William,William de Oliveira  ...,T,P,301087 29 Lucas Romero,Lucas Daniel Romero T,P,,541523
12,Marcelo,Marcelo Lomba do Nas ...,R(g),P,157264 3 Leo,Leonardo Renan Simoe... R,P,,174360
3,Danilo,Danilo Aparecido da Silva,R,P,166131 5 Ariel Cabral,Alejandro Ariel Cabral R,P,,535421
6,Uendel,Uendel Pereira Goncalves,R,P,175320 8 Henrique,Henrique Pacheco de Lima R,P,,170812
7,Nico Lopez,Nicolas Federico Lop ...,R,P,554821 10 De Arrascaeta,Giorgian Daniel de A... R,P,,521990
11,Wellington ...,Wellington Alves da Silva,R,P,306146 15 Rafael Mar ...,Rafael Marques Mariano R,P,,158615
19,Lucca,Lucca Borges de Brito,R,P,292592 16 Lucas Silva,Lucas Silva Borges R,P,,320111
21,Camilo,Fernando Camilo Farias,R,P,161437 17 Raniel San ...,Raniel Santana de Va... R,P,,447783
30,Gabriel,Gabriel Dias de Oliveira,R,P,317697 18 RAFAEL,RAFAEL DA SILVA FRANCISRCOP,,,151708
35,Charles,Charles Rigon Matos,R,P,407683 28 Rodrigo,Rodrigo Junior Paula... R,P,,172038
37,Zeca,Jose Carlos Cracco Neto,R,P,294382 36 Patrick,Patrick de Carvalho Brey R,P,,395968
44,Klaus,William Klaus,R,P,360293 37 Lucas França,Lucas Oliveira de França R,P,,357971
48,Brenner,Brenner Alves Sabino,R,P,401046 99 Sassá,Luiz Ricardo Alves R,P,,337172
"",,Comissão Técnica,
"",Internacional / RS,,Cruzeiro / MG
Técnico:,Odair Hellmann,Técnico:,LUIZ ANTONIO VENKER MENEZES
Auxiliar Técnico:,MAURICIO CORREA DULAC,Auxiliar Técnico:,SIDNEI DE ESPIRITO
Médico:,LUIZ ANTONIO BARCELLOS CRESCENTE,Médico:,SERGIO AUGUSTO CAMPOLINA DE AZEREDO
Treinador De Goleiros:,DANIEL DA FONSECA PAVAN,Treinador De Goleiros:,ROBERTO BARBOSA DOS SANTOS
Preparador Físico:,CRISTIANO GARCIA NUNES,Preparador Físico:,EDUARDO LUIS DA SILVA
Massagista:,PAULO JUAREZ QUINTANILHA DA SILVA,Fisioterapeuta:,EDUESTER LOPES RODRIGUES
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,Cruzeiro/MG,,17 - Raniel Santana de Vasconcelos,11 - David Correia da Fonseca
19:00,2T,Internacional/RS,,19 - Lucca Borges de Brito,9 - Leandro Damiao da Silva dos ...
26:00,2T,Internacional/RS,,7 - Nicolas Federico Lopez Alonso,8 - Edenilson Andrade dos Santos
31:00,2T,Cruzeiro/MG,,5 - Alejandro Ariel Cabral,21 - Federico Andres Mancuello
36:00,2T,Cruzeiro/MG,,15 - Rafael Marques Mariano,7 - Rafael Augusto Sobis
44:00,2T,Internacional/RS,,11 - Wellington Alves da Silva,13 - Rodrigo Dourado Cunha
