"",,Arbitragem
Arbitro:,Devarly Lira do Rosario (CBF-1 / ES),
Arbitro Assistente 1:,Leonardo Mendonca (CBF-1 / ES),
Arbitro Assistente 2:,Valberson Braz Zanotti (CBF-2 / ES),
Quarto Arbitro:,Zandick Gondim Alves Junior (CBF-2 / RN),
Assessor:,Aldeilma Luzia da Silva (000 / RN),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:53Atraso:,,Não Houve Entrada do mandante: 17:00,Atraso:,,Não Houve
Entrada do visitante:,15:53Atraso:,,Não Houve Entrada do visitante: 17:00,Atraso:,,Não Houve
Início 1o Tempo:,16:00 Atraso:,,Não Houve Início do 2o Tempo: 17:01,Atraso:,,Não Houve
Término do 1o Tempo:,16:46 Acréscimo:,,1 min Término do 2o Tempo: 17:51,Acréscimo:,,5 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 2 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,15:53,Atraso:,Não Houve Entrada do mandante:,17:00,Atraso:,Não Houve
Início 1o Tempo:,16:00,Atraso:,Não Houve,Início do 2o Tempo:,17:01,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Ewerton Fe ...,Ewerton Ferreira da  ...,T P,507551,1,Luciano,Luciano da Rocha Nas...,T P,161304
"",,Comissão Técnica
"",América / RN,Salgueiro / PE
Técnico:,Francisco De Assis Ciriaco Dos Santos - 19130367SP,Técnico: Evandro Braz Guimaraes - 373742320-SP
Auxiliar Técnico:,Romildo Freire De Lima - 628642RN,Auxiliar Técnico: George Litiere Lopes Das Merces - 0419265449-BA
Médico:,Marcelo Cabral Fagundes Rego - 4884RN,Médico: Xxx - XXX
Preparador Físico:,Rafael Alves De Araujo Fragoso - 073893-G-SP,Preparador Físico: Glaydson Cassio Galdino Da Silva - 4285-G-PE
Massagista:,Jose Thiago Gomes De Freitas - 2155402-RN,Massagista: João Paulo Vieira - 6179622-PE
Preparador De GoleiroN:i lton Orlando Da Costa - 83603025-SP,,Preparador De GoleiroG:i lmar Gomes De Melo - 3031127-PE
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
26:00,1T,9,NR,Luiz Eduardo Azevedo Dantas,,América/RN
31:00,2T,18,NR,Lucio Teofilo da Silva,,América/RN
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS NO 1o E 2o TEMPO, PARA REPOR TEMPO PERDIDO COM SUBSTITUIÇÕES E RETIRADA DE JOGADORES LESIONADOS.Observações EventuaisINFORMO QUE APÓS O TERMINO DO JOGO, NA SAÍDA DO CAMPO EM DIREÇÃO AO VESTIÁRIO, UMA CRIANÇA COM A CAMISA DOAMÉRICA, JOGOU UM COPO DESCARTÁVEL, CHEIO DE SAL GROSSO, NA EQUIPE DE ARBITRAGEM. O POLICIAMENTO FOIACIONADO, E FOI IDENTIFICADO O PAI DO MENOR QUE FOI ENCAMINHADO A DELEGACIA DE PLANTÃO PARA O REGISTRO DAOCORRÊNCIA.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSalgueiro/PE20 - Alvaro Vieira de Oliveira ...9 - Romulo Andre Lopes09:002TAmérica/RN14 - Arthur Henrique Peixoto S ...11 - Alex Henrique Jose23:002TAmérica/RN18 - Lucio Teofilo da Silva9 - Luiz Eduardo Azevedo Dant ...33:002TAmérica/RN21 - Richardson Jussier Medeir ...6 - Gleidson Ricardo Brito de ...35:002TSalgueiro/PE19 - Manoel Nonato da Mata Rod ...4 - Rogerio Pereira da Silva42:002TSalgueiro/PE16 - Rafael Henrique Costa Mac ...10 - Valdeir Batista de Souza"
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
"ACRÉSCIMOS NO 1o E 2o TEMPO, PARA REPOR TEMPO PERDIDO COM SUBSTITUIÇÕES E RETIRADA DE JOGADORES LESIONADOS."
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS NO 1o E 2o TEMPO, PARA REPOR TEMPO PERDIDO COM SUBSTITUIÇÕES E RETIRADA DE JOGADORES LESIONADOS.Observações EventuaisINFORMO QUE APÓS O TERMINO DO JOGO, NA SAÍDA DO CAMPO EM DIREÇÃO AO VESTIÁRIO, UMA CRIANÇA COM A CAMISA DOAMÉRICA, JOGOU UM COPO DESCARTÁVEL, CHEIO DE SAL GROSSO, NA EQUIPE DE ARBITRAGEM. O POLICIAMENTO FOIACIONADO, E FOI IDENTIFICADO O PAI DO MENOR QUE FOI ENCAMINHADO A DELEGACIA DE PLANTÃO PARA O REGISTRO DAOCORRÊNCIA.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSalgueiro/PE20 - Alvaro Vieira de Oliveira ...9 - Romulo Andre Lopes09:002TAmérica/RN14 - Arthur Henrique Peixoto S ...11 - Alex Henrique Jose23:002TAmérica/RN18 - Lucio Teofilo da Silva9 - Luiz Eduardo Azevedo Dant ...33:002TAmérica/RN21 - Richardson Jussier Medeir ...6 - Gleidson Ricardo Brito de ...35:002TSalgueiro/PE19 - Manoel Nonato da Mata Rod ...4 - Rogerio Pereira da Silva42:002TSalgueiro/PE16 - Rafael Henrique Costa Mac ...10 - Valdeir Batista de Souza",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Salgueiro/PE,20 - Alvaro Vieira de Oliveira ...,9 - Romulo Andre Lopes
09:00,2T,América/RN,14 - Arthur Henrique Peixoto S ...,11 - Alex Henrique Jose
23:00,2T,América/RN,18 - Lucio Teofilo da Silva,9 - Luiz Eduardo Azevedo Dant ...
33:00,2T,América/RN,21 - Richardson Jussier Medeir ...,6 - Gleidson Ricardo Brito de ...
35:00,2T,Salgueiro/PE,19 - Manoel Nonato da Mata Rod ...,4 - Rogerio Pereira da Silva
42:00,2T,Salgueiro/PE,16 - Rafael Henrique Costa Mac ...,10 - Valdeir Batista de Souza
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS NO 1o E 2o TEMPO, PARA REPOR TEMPO PERDIDO COM SUBSTITUIÇÕES E RETIRADA DE JOGADORES LESIONADOS.Observações EventuaisINFORMO QUE APÓS O TERMINO DO JOGO, NA SAÍDA DO CAMPO EM DIREÇÃO AO VESTIÁRIO, UMA CRIANÇA COM A CAMISA DOAMÉRICA, JOGOU UM COPO DESCARTÁVEL, CHEIO DE SAL GROSSO, NA EQUIPE DE ARBITRAGEM. O POLICIAMENTO FOIACIONADO, E FOI IDENTIFICADO O PAI DO MENOR QUE FOI ENCAMINHADO A DELEGACIA DE PLANTÃO PARA O REGISTRO DAOCORRÊNCIA.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSalgueiro/PE20 - Alvaro Vieira de Oliveira ...9 - Romulo Andre Lopes09:002TAmérica/RN14 - Arthur Henrique Peixoto S ...11 - Alex Henrique Jose23:002TAmérica/RN18 - Lucio Teofilo da Silva9 - Luiz Eduardo Azevedo Dant ...33:002TAmérica/RN21 - Richardson Jussier Medeir ...6 - Gleidson Ricardo Brito de ...35:002TSalgueiro/PE19 - Manoel Nonato da Mata Rod ...4 - Rogerio Pereira da Silva42:002TSalgueiro/PE16 - Rafael Henrique Costa Mac ...10 - Valdeir Batista de Souza"
Ocorrências / Observações
Nada houve de anormal
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS NO 1o E 2o TEMPO, PARA REPOR TEMPO PERDIDO COM SUBSTITUIÇÕES E RETIRADA DE JOGADORES LESIONADOS.Observações EventuaisINFORMO QUE APÓS O TERMINO DO JOGO, NA SAÍDA DO CAMPO EM DIREÇÃO AO VESTIÁRIO, UMA CRIANÇA COM A CAMISA DOAMÉRICA, JOGOU UM COPO DESCARTÁVEL, CHEIO DE SAL GROSSO, NA EQUIPE DE ARBITRAGEM. O POLICIAMENTO FOIACIONADO, E FOI IDENTIFICADO O PAI DO MENOR QUE FOI ENCAMINHADO A DELEGACIA DE PLANTÃO PARA O REGISTRO DAOCORRÊNCIA.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSalgueiro/PE20 - Alvaro Vieira de Oliveira ...9 - Romulo Andre Lopes09:002TAmérica/RN14 - Arthur Henrique Peixoto S ...11 - Alex Henrique Jose23:002TAmérica/RN18 - Lucio Teofilo da Silva9 - Luiz Eduardo Azevedo Dant ...33:002TAmérica/RN21 - Richardson Jussier Medeir ...6 - Gleidson Ricardo Brito de ...35:002TSalgueiro/PE19 - Manoel Nonato da Mata Rod ...4 - Rogerio Pereira da Silva42:002TSalgueiro/PE16 - Rafael Henrique Costa Mac ...10 - Valdeir Batista de Souza",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
"ACRÉSCIMOS NO 1o E 2o TEMPO, PARA REPOR TEMPO PERDIDO COM SUBSTITUIÇÕES E RETIRADA DE JOGADORES LESIONADOS.",,,,
Observações Eventuais,,,,
"INFORMO QUE APÓS O TERMINO DO JOGO, NA SAÍDA DO CAMPO EM DIREÇÃO AO VESTIÁRIO, UMA CRIANÇA COM A CAMISA DO",,,,
"AMÉRICA, JOGOU UM COPO DESCARTÁVEL, CHEIO DE SAL GROSSO, NA EQUIPE DE ARBITRAGEM. O POLICIAMENTO FOI",,,,
"ACIONADO, E FOI IDENTIFICADO O PAI DO MENOR QUE FOI ENCAMINHADO A DELEGACIA DE PLANTÃO PARA O REGISTRO DA",,,,
OCORRÊNCIA.,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Salgueiro/PE,20 - Alvaro Vieira de Oliveira ...,9 - Romulo Andre Lopes
09:00,2T,América/RN,14 - Arthur Henrique Peixoto S ...,11 - Alex Henrique Jose
23:00,2T,América/RN,18 - Lucio Teofilo da Silva,9 - Luiz Eduardo Azevedo Dant ...
33:00,2T,América/RN,21 - Richardson Jussier Medeir ...,6 - Gleidson Ricardo Brito de ...
35:00,2T,Salgueiro/PE,19 - Manoel Nonato da Mata Rod ...,4 - Rogerio Pereira da Silva
42:00,2T,Salgueiro/PE,16 - Rafael Henrique Costa Mac ...,10 - Valdeir Batista de Souza
