Campeonato:,Campeonato Brasileiro - Série D/2018,,Rodada:,Volta
Jogo:,Imperatriz / MA X América / RN,,,
Data:,23/04/2018 Horário: 19:00 Estádio:,Frei Epifânio D ?abadia / Imperatriz,,
"",Arbitragem
Arbitro:,Michael Vinicius Santos Freitas (CD / SE)
Arbitro Assistente 1:,Rodrigo Guimarães Pereira (CD / SE)
Arbitro Assistente 2:,Fernanda F Lima da Silva (CBF / SE)
Quarto Arbitro:,Ranilton Oliveira de Sousa (CD / MA)
Delegado Local:,Itamar Sousa Ferreira (CBF / )
Analista de Campo:,Marcelo Bispo Nunes Filho (CBF / MA)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:50Atraso:,,Não Houve Entrada do mandante: 19:56,,Atraso:,Não Houve
Entrada do visitante:,18:50Atraso:,,Não Houve Entrada do visitante: 19:56,,Atraso:,Não Houve
Início 1o Tempo:,19:00Atraso:,,Não Houve Início do 2o Tempo: 20:00,,Atraso:,Não Houve
Término do 1o Tempo:,19:45Acréscimo:,,Não Houve Término do 2o Tempo: 20:48,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Imperatriz / MA,,,,América / RN,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo T/R,,P/A,CBF
1,Jean,Jean de Melo Pereira T(g),,P,343441 1 Daniel,Daniel Luiz Flumignan T(g),,P,128723
2,Michel,Michel Silva de Andrade T,,P,368198 2 Guilherme,Victor Guilherme da ...,T,P,410685
3,Maycon,Michael Douglas Maia ... T,,P,315199 3 Diego Niza,Diego Niza de Oliveira,T,P,171863
4,Schmoeller,Anderson Schmoeller T,,P,332466 4 Andrezinho,Andre Ricardo de Oli...,T,P,306140
5,Daniel Barros,Daniel dos Santos Barros T,,P,304171 5 Gercimar,Gercimar Maximiliano...,T,P,188361
6,Wesley,Wesley Braga Lima T,,P,443265 6 Gilton,Gilton Ribeiro,T,P,182751
7,Sousa Tibiri,Wesllen Jose Sousa M ... T,,P,430304 7 Jardson,Jardson Marcolino Coelho,T,P,307961
8,Eloir,Eloir Silva Moreira T,,P,184656 8 Jonathas,Jonathas dos Santos ...,T,P,291390
9,Kanu,Jefferson Brito Gomes T,,P,292467 9 Flavio,Flavio dos Santos da...,T,P,291397
10,Rubens,Rubens Vieira Torres T,,P,156049 10 Luiz Fernando,Luiz Fernando Correa...,T,P,178489
11,Diego Vitor,Diego Vitor de Sousa ... T,,P,384922 11 Adriano Pa ...,Antonio Adriano Antu...,T,P,172563
12,Luciano,Luciano da Silva Sousa R(g),,P,541011 12 FRED,Frederico Luis Ladei... R(g),,P,161587
13,Gabriel,Gabriel Paulino da Silva R,,P,181802 13 Hudson,Hudson Fernando Tobi...,R,P,169792
14,Lucas,Lucas Marcio Oliveir ... R,,P,177874 14 Richardson,Richardson Jussier M...,R,P,297954
15,Andre Penalva,Andre Lucas Matos Gama R,,P,393115 15 Rodney,Rodney Aparecido Cardoso,R,P,331921
16,Gabriel Cajú,Gabriel Henrique de  ... R,,P,554776 16 Wander Luiz,Wander Luiz Reis Soares,R,P,342935
17,Adauto,Adauto Lucio Costa L ... R,,P,417722 17 Cascata,Antonio Givanildo da...,R,P,166508
18,Cloves,Cloves Conceicao de Souza R,,P,293682 18 Leo,Leonardo Ferreira,R,P,187284
19,Kaka,Flavio Leite R,,P,184942 19 Claudio,Claudio Henrique da ...,R,P,548382
20,Junior Chi ...,Geraldo Santana Ferr ... R,,P,342354,,,,
21,Yerien,Yerien Richmind Esuk ... R,,P,342613,,,,
22,Felipe Cruz,Felipe Ferreira da Cruz R,,P,507727,,,,
23,Morango,Wanderson da Silva Leite R,,P,466382,,,,
"",,Comissão Técnica,
"",Imperatriz / MA,,América / RN
Auxiliar Técnico:,VINICIUS RODRIGUES SALDANHA,Técnico:,Roneivaldo Da Mata Soares
Médico:,JEAN MARCIO COSTA MACHADO NASCIMENTO,Médico:,ANTONIO SOARES SILVA
Treinador De Goleiros:,AGENOR GONCALVES FERREIRA JUNIOR,Treinador De Goleiros:,RODRIGO GOMES DAS NEVES
Preparador Físico:,FRANCISCO DE JESUS SOARES JUNIOR,Preparador Físico:,ALTAMIR VICENTE FERREIRA JUNIOR
Massagista:,ORLANDO LUIZ DE JESUS,Massagista:,EDCARLOS AUGUSTO FERNANDES DA SILVA
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Imperatriz/MA,17 - Adauto Lucio Costa Lima Junior,10 - Rubens Vieira Torres
45:00,INT,Imperatriz/MA,18 - Cloves Conceicao de Souza,8 - Eloir Silva Moreira
21:00,2T,América/RN,17 - Antonio Givanildo da Silva S...,10 - Luiz Fernando Correa Sales
28:00,2T,América/RN,15 - Rodney Aparecido Cardoso,8 - Jonathas dos Santos Oliveira
29:00,2T,Imperatriz/MA,20 - Geraldo Santana Ferreira Jun...,9 - Jefferson Brito Gomes
41:00,2T,América/RN,16 - Wander Luiz Reis Soares,11 - Antonio Adriano Antunes de P...
