Campeonato:,Campeonato Brasileiro - Série D/2018,,Rodada:,Volta
Jogo:,Belo Jardim / PE X Imperatriz / MA,,,
Data:,29/04/2018 Horário: 16:00 Estádio:,José Mendonça Bezerra / Belo Jardim,,
"",Arbitragem
Arbitro:,José Reinaldo Figueiredo da Silva Filho (CD / AL)
Arbitro Assistente 1:,Rondinelle dos Santos Tavares (AB / AL)
Arbitro Assistente 2:,Claudio Camilo da Silva (CD / AL)
Quarto Arbitro:,Luciano Luís de Castro Silva (CD / PE)
Analista de Campo:,Ubirajara Ferraz Jota (CBF / PE)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:50Atraso:,,Não Houve Entrada do mandante: 17:01,,Atraso:,Não Houve
Entrada do visitante:,15:50Atraso:,,Não Houve Entrada do visitante: 17:01,,Atraso:,Não Houve
Início 1o Tempo:,16:00Atraso:,,Não Houve Início do 2o Tempo: 17:03,,Atraso:,Não Houve
Término do 1o Tempo:,16:48Acréscimo:,,3 min Término do 2o Tempo: 17:52,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Belo Jardim / PE,,,,Imperatriz / MA,,,
No,Apelido,Nome Completo T/R,P/A,,CBF No Apelido,Nome Completo T/R,,P/A,CBF
1,Evandrizio,Evandrizio Rodrigues ... T(g),P,,370008 1 Jean,Jean de Melo Pereira T(g),,P,343441
2,Arlan de S ...,Arlan de Santana Barros T,P,,455012 2 Michel,Michel Silva de Andrade T,,P,368198
3,Vitor,Vitor Hugo Xisto T,P,,332219 3 Maycon,Michael Douglas Maia... T,,P,315199
4,Jader,Jader de Souza Brito T,P,,293588 4 Schmoeller,Anderson Schmoeller T,,P,332466
5,Evandro,Evandro Pereira Gomes T,P,,304411 5 Lucas,Lucas Marcio Oliveir... T,,P,177874
6,Oseas,Oseas de Lima Neres T,P,,317240 6 Wesley,Wesley Braga Lima T,,P,443265
7,Tarcisio,Tarcisio Jose da Silva T,P,,340272 7 Cloves,Cloves Conceicao de Souza T,,P,293682
8,Thalison,Thalison Fernando Se ... T,P,,370456 8 Daniel Barros,Daniel dos Santos Barros T,,P,304171
9,Jean,Jean Carlos de Almei ... T,P,,371028 9 Kanu,Jefferson Brito Gomes T,,P,292467
10,Jose,Jose Roberto da Silv ... T,P,,136417 10 Eloir,Eloir Silva Moreira T,,P,184656
11,Bruno,Bruno Correia Sacomani T,P,,337378 11 Adauto,Adauto Lucio Costa L... T,,P,417722
12,Andrei,Andrei Toscano da Cr ... R(g),P,,353731 12 Gustavo,Gustavo Henrique Jus... R(g),,P,295106
13,Gustavo,Gustavo Henrique Cor ... R,P,,419226 13 Felipe Cruz,Felipe Ferreira da Cruz R,,P,507727
14,Vanderson,Vanderson Luan Freir ... R,P,,331836 14 Mateus,Mateus Ferreira Silva R,,P,394838
15,Vandinho,Jose Evanderson Frei ... R,P,,187485 15 Junior Chi ...,Geraldo Santana Ferr... R,,P,342354
16,Junior,Manoel de Oliveira d ... R,P,,565169 16 Sousa Tibiri,Wesllen Jose Sousa M... R,,P,430304
17,Lucas,Lucas Gomes Vieira R,P,,382358 17 Diego Vitor,Diego Vitor de Sousa... R,,P,384922
18,Raniel,Raniel Porto dos Santos R,P,,465724 18 Gabriel,Gabriel Paulino da Silva R,,P,181802
19,ANDERSON,ANDERSON LEONARDO DAR ... P,,,591828,,,,
20,Igor,Igor Neves Matheus Dutra R,P,,396068,,,,
21,Genildo,Genildo Antonio de Q ... R,P,,381939,,,,
22,Charles,Jose Charles Pereira ... R,P,,532660,,,,
"",,Comissão Técnica,
"",Belo Jardim / PE,,Imperatriz / MA
Técnico:,PEDRO DE SIQUEIRA MANTA,Técnico:,Vinicius Rodrigues Saldanha
Auxiliar Técnico:,ROMILDO SANTOS TORRES,Médico:,JOAO HENRIQUE BUENO LOPES
Médico:,LEONARDO FUSCO RIEGERT,Treinador De Goleiros:,AGENOR GONCALVES FERREIRA JUNIOR
Treinador De Goleiros:,RENATO NOGUEIRA PONTES,Preparador Físico:,FRANCISCO DE JESUS SOARES JUNIOR
Preparador Físico:,LUCAS EMMANUEL VASCONCELOS DE OLIVEIRA,Massagista:,ORLANDO LUIZ DE JESUS
Massagista:,SEVERINO JOSE DA SILVA,,
"",,,Substituições
Tempo,1T/2T,Equipe,Entrou Saiu
45:00,INT,Imperatriz/MA,15 - Geraldo Santana Ferreira Jun... 9 - Jefferson Brito Gomes
45:00,INT,Belo Jardim/PE,18 - Raniel Porto dos Santos 11 - Bruno Correia Sacomani
12:00,2T,Belo Jardim/PE,17 - Lucas Gomes Vieira 10 - Jose Roberto da Silva de Souza
29:00,2T,Belo Jardim/PE,19 - ANDERSON LEONARDO DA SILVA C.6.. - Oseas de Lima Neres
35:00,2T,Imperatriz/MA,17 - Diego Vitor de Sousa Silva 10 - Eloir Silva Moreira
41:00,2T,Imperatriz/MA,14 - Mateus Ferreira Silva 11 - Adauto Lucio Costa Lima Junior
