Campeonato:,Copa do Brasil - Profissional/2019,Rodada:,Volta
Jogo:,Fortaleza / CE X Athletico Paranaense / PR,,
Data:,16/05/2019 Horário: 19:15 Estádio:,Governador Plácido Aderaldo Castelo / Fortaleza,
"",Arbitragem
Arbitro:,Braulio da Silva Machado (FIFA / SC)
Arbitro Assistente 1:,Rodrigo Figueiredo Henrique Correa (FIFA / RJ)
Arbitro Assistente 2:,Alessandro Alvaro Rocha de Matos (FIFA / BA)
Quarto Arbitro:,William Machado Steffen (AB / SC)
Inspetor:,Hilton Moutinho Rodrigues (CBF / BR)
Delegado Local:,Manoel de Aguiar Silva ( / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,19:05Atraso:,,Não Houve Entrada do mandante: 20:19,,Atraso:,2 min
Entrada do visitante:,19:05Atraso:,,Não Houve Entrada do visitante: 20:17,,Atraso:,Não Houve
Início 1o Tempo:,19:15Atraso:,,Não Houve Início do 2o Tempo: 20:19,,Atraso:,Não Houve
Término do 1o Tempo:,20:04Acréscimo:,,4 min Término do 2o Tempo: 21:09,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,
"",,Fortaleza / CE,,,Athletico Paranaense / PR,,,
No,Apelido,Nome Completo,T/R,P/A,CBF No Apelido Nome Completo T/R,,P/A,CBF
1,Marcelo Boeck,Marcelo Boeck T(g),,P,154969 1 Santos Aderbar Melo dos San ... T(g),,P,293428
2,Guilherme,Guilherme de Jesus d ...,T,P,348138 3 Lucho Gonz ... Luis Oscar Gonzalez T,,P,559270
3,Juan Quintero,Juan Sebastian Quint ...,T,P,646848 4 Leonardo Leonardo Pereira T,,P,310373
4,Roger,Roger de Carvalho,T,P,184174 5 Wellington Wellington Aparecido ... T,,P,184600
5,Paulo Roberto,Paulo Roberto da Silva,T,P,175560 7 Roni Ronielson da Silva B ... T,,P,427806
6,Bruno,Bruno Ferreira Melo,T,P,329952 9 Marco Ruben Marco Gaston Ruben T,,P,646884
17,Marcio,Marcio Augusto da Si ...,T,P,440927 11 Nikao Maycon Vinicius Ferr ... T,,P,306616
20,Romarinho,Jose Romario Silva d ...,T,P,413857 12 Renan Augusto Renan Augusto Lodi d ... T,,P,396433
22,Felipe,Felipe Araruna Hoffmann,T,P,356726 13 Paulo Andre Paulo Andre Cren Benini T,,P,155991
28,Marlon,Marlon Adriano Prezotti,T,P,294484 26 Erick Erick Luis Conrado C ... T,,P,376073
97,Andre Luis,Andre Luis da Costa  ...,T,P,321636 39 Bruno Guim ... Bruno Guimaraes Rodr ... T,,P,319832
12,Felipe,Felipe Alves Raymundo R(g),,P,177931 25 Caio Caio Alan Tem Catem  ... R(g),,P,356056
7,Edinho,Francisco Edson More ...,R,P,377355 6 Marcio Aze ... Marcio Gonzaga de AzevedoR,,P,167769
8,Derley,Wanderley de Jesus Sousa,R,P,166491 8 Tomas AndradeTomas Gustavo Andrade R,,P,610318
9,Junior,Jose Antonio dos San ...,R,P,540268 14 Robson Robson Alves de Barros R,,P,352528
10,Dodo,Raphael Guimaraes de ...,R,P,315101 17 Braian Romero Braian Ezequiel Romero R,,P,647839
13,Gabriel,Gabriel Dias de Oliveira,R,P,317697 18 Leo Cittadini Leonardo Cittadini R,,P,321574
14,Marcelino,Patrick Marcelino,R,P,326293 21 Lucas Halter Lucas Halter R,,P,440063
15,Luis,Luis Antonio Ferreir ...,R,P,420080 28 Vitinho Vitor Hugo Naum dos  ... R,,P,388084
16,Carlinho,Carlos Emiliano Pereira,R,P,186140 38 T. Anderson Thonny Anderson da S ... R,,P,318266
18,Matheus Al ...,Matheus Alessandro d ...,R,P,413284,,,
19,Santiago R ...,Santiago Ernesto Rom ...,R,P,646607,,,
21,Gustavo,Gustavo Coutinho Sil ...,R,P,436949,,,
"",,Comissão Técnica,
"",Fortaleza / CE,,Athletico Paranaense / PR
Técnico:,Rogerio Ceni,Técnico:,Tiago Retzlaff Nunes
Auxiliar Técnico:,Charles Alexandre Patrice Francis Hembert,Auxiliar Técnico:,Evandro Luis Fornari
Médico:,Roberto Clayton Lima Oliveira Junior,Médico:,Murilo Marcondes Ribas
Treinador De Goleiros:,Haroldo Lamounier Ferreira,Treinador De Goleiros:,Felipe Faria De Souza
Preparador Físico:,Danilo Augusto Da Silva,Preparador Físico:,Jean Carlo De Freitas Lourenco
Massagista:,Jose Wellington Nunes De Moura,Massagista:,Juan Pablo Fiorenza
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,Fortaleza/CE,,7 - Francisco Edson Moreira da S...,97 - Andre Luis da Costa Alfredo
18:00,2T,Athletico Paranaense/PR,,18 - Leonardo Cittadini,3 - Luis Oscar Gonzalez
21:00,2T,Athletico Paranaense/PR,,17 - Braian Ezequiel Romero,11 - Maycon Vinicius Ferreira da ...
26:00,2T,Fortaleza/CE,,9 - Jose Antonio dos Santos Junior,17 - Marcio Augusto da Silva Barb...
32:00,2T,Fortaleza/CE,,18 - Matheus Alessandro dos Santo...,20 - Jose Romario Silva de Souza
33:00,2T,Athletico Paranaense/PR,,38 - Thonny Anderson da Silva Car...,9 - Marco Gaston Ruben
