Campeonato:,Campeonato Brasileiro - Série A/2017,,Rodada:,20
Jogo:,Sport / PE X Ponte Preta / SP,,,
Data:,13/08/2017 Horário: 16:00 Estádio:,Adelmar da Costa Carvalho / Recife,,
"",,Arbitragem
Arbitro:,Leandro Pedro Vuaden (AB / RS),
Arbitro Assistente 1:,Jose Eduardo Calza (AB / RS),
Arbitro Assistente 2:,Mauricio Coelho Silva Penna (AB / RS),
Quarto Arbitro:,Jorge Eduardo Bernardi (AB / RS),
Arbitro Assist Adic 1:,Roger Goulart (CD / RS),
Arbitro Assist Adic 2:,Jonathan Benkenstein Pinheiro (CD / RS),
Delegado Local:,Jorge Buregio de Lima Junior (CBF / ),
Analista de Campo:,Ubirajara Ferraz Jota (CBF / PE),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:50Atraso:,,Não Houve Entrada do mandante: 17:02,,Atraso:,Não Houve
Entrada do visitante:,15:50Atraso:,,Não Houve Entrada do visitante: 17:02,,Atraso:,Não Houve
Início 1o Tempo:,16:00Atraso:,,Não Houve Início do 2o Tempo: 17:04,,Atraso:,Não Houve
Término do 1o Tempo:,16:49Acréscimo:,,4 min Término do 2o Tempo: 17:55,Acréscimo:,,6 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Sport / PE,,,,Ponte Preta / SP,,,
No,Apelido,Nome Completo,T/R,P/A,CBF No Apelido,Nome Completo,T/R,P/A,CBF
1,Magrão,Alessandro Beti Rosa,T(g),P,130014 1 Aranha,Mario Lucio Duarte Costa T(g),,P,142720
2,Henriquez,Oswaldo Jose Henriqu ...,T,P,541170 2 Jeferson,Jeferson de Araujo d...,T,P,337508
3,Ronaldo,Ronaldo Luiz Alves,T,P,174941 3 Luan,Luan Peres Petroni,T,P,318682
6,Mena,Eugenio Esteban Mena ...,T,P,445840 4 Rodrigo,Rodrigo da Costa,T,P,137340
7,R. Lenis,Reinaldo Lenis Montes,T,P,541169 5 Naldo,Marinaldo dos Santos...,T,P,336832
21,Rithely,Francisco Rithely da ...,T,P,184833 6 Danilo,Danilo Carvalho Barcelos,T,P,313755
23,Raul,Raul Prata,T,P,181172 7 Jadson,Jadson Alves dos Santos,T,P,302192
87,Diego Souza,Diego de Souza Andrade,T,P,161625 8 Jean,Jean Patrick Reis,T,P,343999
88,N. Patrick,Patrick Bezerra do N ...,T,P,315585 9 Lucca,Lucca Borges de Brito,T,P,292592
90,Andre,Andre Felipe Ribeiro ...,T,P,292942 10 Leonardo,Leonardo Artur de Melo,T,P,343349
97,Everton Fe ...,Everton Felipe de Ol ...,T,P,381047 11 Maranhão,Francinilson Santos ...,T,P,303766
32,Mailson,Mailson Tenorio dos  ...,R(g),P,460562 12 Joao Carlos,Joao Carlos Heidemann R(g),,P,174755
4,Durval,Severino dos Ramos D ...,R,P,141516 13 Nino Paraíba,Severino do Ramo Cle...,R,P,183977
5,Rodrigo,Rodrigo Vasconcelos  ...,R,P,302774 14 Fernandinho,Fernando Galhardo Borges,R,P,163429
8,Anselmo,Anselmo de Moraes,R,P,293384 15 Mendoza,Jorge Dario Mendoza,R,P,597041
20,Thomas,Thomas Jaguaribe Bed ...,R,P,307432 16 Lucas,Lucas Felipe Galdino,R,P,515844
36,Fabricio,Fabricio Silva Costa,R,P,457301 17 Wendel,Wendel Geraldo Mauri...,R,P,140053
37,Juninho,Edimar Ribeiro da Co ...,R,P,514810 18 Saraiva,Felipe Saraiva de So...,R,P,502791
44,Thallyson,Thallyson Gabriel Lo ...,R,P,465539 19 Claudio,Claudio Luiz Rodrigu...,R,P,339209
56,Sander,Sander Henrique Bort ...,R,P,346046 20 Luis Ali,Luis Alberto Ali Vega,R,P,595274
89,Igor,Igor Ribeiro de Jesus,R,P,292114,,,,
"",,Comissão Técnica
"",Sport / PE,Ponte Preta / SP
Técnico:,Vanderlei Luxemburgo Da Silva,Técnico: Gilson Kleina
Auxiliar Técnico:,Antonio Lopes Dos Santos Junior,Auxiliar Técnico: Antonio Ribeiro Carvalhaes Junior
Preparador Físico:,Diogo De Borba Linhares,Preparador Físico: Carlos Fabiano Mazolla Vieira
Treinador De GoleirosG: ilberto Felix De Melo,,Treinador De GoleirosA:n dre Luis Dias
Médico:,Rodrigo Amorim De Moraes Perez,Médico: Roberto Itiro Nishimura
Massagista:,Edson Batista Ferreira,Massagista: Rogerio De Mello Silva
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Ponte Preta/SP,13 - Severino do Ramo Clementino ...,11 - Francinilson Santos Meireles
12:00,2T,Sport/PE,8 - Anselmo de Moraes,88 - Patrick Bezerra do Nascimento
12:00,2T,Sport/PE,37 - Edimar Ribeiro da Costa Junior,7 - Reinaldo Lenis Montes
18:00,2T,Ponte Preta/SP,17 - Wendel Geraldo Mauricio E Si...,7 - Jadson Alves dos Santos
28:00,2T,Ponte Preta/SP,18 - Felipe Saraiva de Souza Silva,8 - Jean Patrick Reis
30:00,2T,Sport/PE,44 - Thallyson Gabriel Lobo Seabra,21 - Francisco Rithely da Silva S...
